City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
11,Crotone,IT,68.9,broken clouds,39.0851,17.1178,Helios Hotel
13,Cape Town,ZA,55.09,scattered clouds,-33.9258,18.4232,Southern Sun Waterfront Cape Town
14,Iglesias,IT,68.76,scattered clouds,39.3114,8.535,"B&B Mare Monti Miniere - Sardinia sud-ovest, trekkink climbing Masua"
16,Port Lincoln,AU,55.83,overcast clouds,-34.7333,135.8667,Port Lincoln Hotel
19,Jamestown,US,69.19,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
21,Mataura,NZ,52.48,overcast clouds,-46.1927,168.8643,Ellie's Villa
24,Port Elizabeth,ZA,51.1,light intensity shower rain,-33.918,25.5701,39 On Nile Guest House
30,Torbay,CA,57.27,broken clouds,47.6666,-52.7314,Gallows Cove
31,Maarianhamina,AX,53.46,clear sky,60.0973,19.9348,Park Alandia Hotel
32,Hobart,AU,56.12,broken clouds,-42.8794,147.3294,Mantra on Collins Hobart
33,Carnarvon,AU,59.07,overcast clouds,-24.8667,113.6333,Hospitality Carnarvon
36,Port Alfred,ZA,54.09,light rain,-33.5906,26.891,The Halyards Hotel
40,Barcelos,PT,66.29,overcast clouds,41.5388,-8.6151,Hotel Do Terço
42,Hermanus,ZA,51.91,overcast clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
52,Airai,TL,60.82,broken clouds,-8.9266,125.4092,Juvinal Martin
53,Bluff,NZ,52.81,overcast clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
56,Geraldton,AU,54.01,broken clouds,-28.7667,114.6,Broadwater Mariner Resort
57,Chicama,PE,61.34,few clouds,-7.8447,-79.1469,Balihai Bungalows
63,Esperance,AU,55.71,light rain,-33.8667,121.9,Hospitality Esperance
65,Flinders,AU,64.18,clear sky,-34.5833,150.8552,Shellharbour Resort & Conference Centre
72,New Norfolk,AU,56.75,overcast clouds,-42.7826,147.0587,The Shingles Riverside Cottages
75,Tourlaville,FR,58.66,clear sky,49.6383,-1.5664,Logis Hôtel la Régence
76,Ambilobe,MG,67.33,scattered clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
91,Mount Gambier,AU,56.07,light rain,-37.8333,140.7667,The Commodore
92,Matelandia,BR,69.31,broken clouds,-25.2408,-53.9964,Hotel Faeli
93,Roebourne,AU,67.53,clear sky,-20.7833,117.1333,Latitude20 Roebourne Village
94,Stornoway,GB,52.93,scattered clouds,58.2093,-6.3865,Caladh Inn
98,Port Hardy,CA,51.98,light rain,50.6996,-127.4199,Airport Inn
99,Thompson,CA,60.96,broken clouds,55.7435,-97.8558,Burntwood Hotel
100,Bandar-E Anzali,IR,64.35,overcast clouds,37.4727,49.4622,هتل بیاچ
102,Tuatapere,NZ,52.83,overcast clouds,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
103,Warrington,GB,50.86,scattered clouds,53.3925,-2.5802,Patten Arms Hotel
109,Plouzane,FR,55.49,light rain,48.3833,-4.6167,Carrefour Voyages Plouzané
110,Channel-Port Aux Basques,CA,53.06,overcast clouds,47.5702,-59.1367,St. Christopher's Hotel
111,Talcahuano,CL,53.28,scattered clouds,-36.7167,-73.1167,departamento comodo
112,Fort-Shevchenko,KZ,54.27,broken clouds,44.5086,50.263,Oasis hotel Bautino
123,Chuy,UY,55.54,scattered clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
125,Lebu,CL,50.13,clear sky,-37.6167,-73.65,Hostal Las Lilas
136,Dolores,AR,57.76,overcast clouds,-36.3132,-57.6792,Apart Hotel - Arianos
137,Codrington,AU,54.72,scattered clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
140,Sao Joao Da Boa Vista,BR,69.75,overcast clouds,-21.9692,-46.7981,Libero Hotel
145,Castro,BR,60.87,heavy intensity rain,-24.7911,-50.0119,CHACARA BAILLY
147,Cocal,BR,68.32,light rain,-28.6167,-49.35,Motel Tropical
155,Qaqortoq,GL,57.7,clear sky,60.7167,-46.0333,Hotel Qaqortoq
158,Los Llanos De Aridane,ES,69.55,clear sky,28.6585,-17.9182,Valle Aridane
160,San Vicente,AR,65.01,overcast clouds,-26.6167,-54.1333,Complejo Turístico Farelluk
162,Hami,CN,50.47,overcast clouds,42.8,93.45,Laoyutang Resort
165,Narsaq,GL,57.42,clear sky,60.9167,-46.05,Narsaq Kayak Hostel
166,Mar Del Plata,AR,56.12,light rain,-38.0023,-57.5575,Gran Hotel Mar del Plata
169,Aksu,CN,59.36,broken clouds,41.1231,80.2644,Pudong Holiday Hotel
176,Karratha,AU,67.33,clear sky,-20.7377,116.8463,ibis Styles Karratha
177,Manakara,MG,68.05,clear sky,-22.1333,48.0167,La Residence Manakara
183,Coquimbo,CL,58.73,clear sky,-29.9533,-71.3436,Punto de encuentro
185,Kaitangata,NZ,50.54,overcast clouds,-46.2817,169.8464,Kaitangata Motor Camp
188,Pisco,PE,65.01,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
191,Villa Carlos Paz,AR,65.39,broken clouds,-31.4241,-64.4978,Monte Carlo
192,Roald,NO,51.33,scattered clouds,62.5833,6.1333,Flem Cabins
198,Hasaki,JP,68.4,few clouds,35.7333,140.8333,Hotel Sunrise Choshi
201,Grevesmuhlen,DE,59.85,overcast clouds,53.8667,11.1833,Ringhotel am See
