City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
Russell,US,32.3502,-85.1999,83.48,64,20,6.91,few clouds
Saint-Augustin,CA,51.226,-58.6502,46.69,94,99,13.51,overcast clouds
Barrow,US,71.2906,-156.7887,30.22,80,90,14.97,light snow
Batagay-Alyta,RU,67.8006,130.4114,15.1,87,9,3.56,clear sky
Galle,LK,6.0367,80.217,78.42,84,39,8.16,scattered clouds
Ushuaia,AR,-54.8,-68.3,42.46,75,75,19.57,broken clouds
Qeshm,IR,26.9581,56.2719,89.49,69,56,4.68,broken clouds
Atuona,PF,-9.8,-139.0333,78.06,73,22,21.68,few clouds
Puerto Ayora,EC,-0.7393,-90.3518,76.96,84,94,10.76,overcast clouds
Balakhninskiy,RU,58.0106,114.2769,22.8,94,76,0.49,broken clouds
Ribeira Grande,PT,38.5167,-28.7,72.07,90,44,11.43,scattered clouds
Crotone,IT,39.0851,17.1178,68.9,69,79,2.82,broken clouds
Hamilton,US,39.1834,-84.5333,78.24,76,1,3.44,haze
Cape Town,ZA,-33.9258,18.4232,55.09,63,40,4.61,scattered clouds
Iglesias,IT,39.3114,8.535,68.76,82,40,2.98,scattered clouds
Kruisfontein,ZA,-34.0033,24.7314,48.88,70,69,14.94,broken clouds
Port Lincoln,AU,-34.7333,135.8667,55.83,82,100,27.09,overcast clouds
Yellowknife,CA,62.456,-114.3525,49.41,86,75,14.97,light rain
Saldanha,ZA,-33.0117,17.9442,48.25,57,44,17.29,scattered clouds
Jamestown,US,42.097,-79.2353,69.19,60,1,1.99,clear sky
Punta Arenas,CL,-53.15,-70.9167,46.51,71,75,23.02,broken clouds
Mataura,NZ,-46.1927,168.8643,52.48,76,100,3.27,overcast clouds
Iralaya,HN,15.0,-83.2333,87.89,78,45,6.85,scattered clouds
Faanui,PF,-16.4833,-151.75,79.36,69,5,14.99,clear sky
Port Elizabeth,ZA,-33.918,25.5701,51.1,87,75,14.97,light intensity shower rain
Urupes,BR,-21.2017,-49.29,76.33,69,53,8.05,light rain
Busselton,AU,-33.65,115.3333,47.08,52,100,12.3,overcast clouds
Aswan,EG,24.0934,32.907,79.9,27,0,12.66,clear sky
Hilo,US,19.7297,-155.09,83.93,72,75,10.36,broken clouds
Rikitea,PF,-23.1203,-134.9692,73.06,70,20,23.15,few clouds
Torbay,CA,47.6666,-52.7314,57.27,83,75,6.91,broken clouds
Maarianhamina,AX,60.0973,19.9348,53.46,82,0,14.97,clear sky
Hobart,AU,-42.8794,147.3294,56.12,97,75,1.01,broken clouds
Carnarvon,AU,-24.8667,113.6333,59.07,94,90,6.91,overcast clouds
Bambous Virieux,MU,-20.3428,57.7575,71.22,94,40,14.97,light rain
Pangody,RU,65.85,74.4859,30.07,87,100,14.63,overcast clouds
Port Alfred,ZA,-33.5906,26.891,54.09,64,50,23.35,light rain
Albany,US,42.6001,-73.9662,70.52,77,46,5.88,scattered clouds
Luderitz,NA,-26.6481,15.1594,57.63,73,0,23.55,clear sky
Merauke,ID,-8.4667,140.3333,79.41,79,100,7.43,overcast clouds
Barcelos,PT,41.5388,-8.6151,66.29,97,100,17.13,overcast clouds
Tekeli,KZ,44.83,78.8239,28.62,70,2,7.47,clear sky
Hermanus,ZA,-34.4187,19.2345,51.91,63,92,5.53,overcast clouds
Biak,ID,-0.9131,122.8766,75.99,84,100,3.29,overcast clouds
Markala,ML,13.7021,-6.0659,77.32,64,72,17.13,broken clouds
Tuktoyaktuk,CA,69.4541,-133.0374,37.4,87,90,12.66,overcast clouds
Tiksi,RU,71.6872,128.8694,24.49,90,60,14.99,broken clouds
Sisimiut,GL,66.9395,-53.6735,34.9,77,29,8.55,scattered clouds
Costa Rica,BR,-23.4167,-54.65,68.49,92,100,7.99,moderate rain
Praia Da Vitoria,PT,38.7333,-27.0667,73.65,88,75,14.67,broken clouds
Srednekolymsk,RU,67.45,153.6833,21.4,89,64,11.36,broken clouds
Ponta Delgada,PT,37.7333,-25.6667,74.5,88,75,8.05,broken clouds
Airai,TL,-8.9266,125.4092,60.82,87,51,1.25,broken clouds
Bluff,NZ,-46.6,168.3333,52.81,82,100,8.03,overcast clouds
Itabira,BR,-19.6192,-43.2269,71.1,74,60,3.06,broken clouds
Bethel,US,41.3712,-73.414,71.91,72,1,0.0,clear sky
Geraldton,AU,-28.7667,114.6,54.01,87,75,3.44,broken clouds
Chicama,PE,-7.8447,-79.1469,61.34,69,11,8.81,few clouds
Olinda,BR,-8.0089,-34.8553,80.33,78,0,5.75,clear sky
Saskylakh,RU,71.9167,114.0833,21.02,97,100,3.74,overcast clouds
Victoria,HK,22.2855,114.1577,85.32,84,27,1.01,scattered clouds
Kodiak,US,57.79,-152.4072,40.51,42,75,24.16,volcanic ash
Vaini,TO,-21.2,-175.2,77.16,83,75,12.66,broken clouds
Esperance,AU,-33.8667,121.9,55.71,67,64,27.09,light rain
Longyearbyen,SJ,78.2186,15.6401,37.24,87,75,2.3,light rain
Flinders,AU,-34.5833,150.8552,64.18,74,1,1.01,clear sky
Kapaa,US,22.0752,-159.319,84.18,69,90,4.0,light rain
Boden,SE,65.8252,21.6886,48.2,95,38,7.47,scattered clouds
Manyana,BW,-23.4,21.7167,55.42,22,0,9.73,clear sky
Pokhvistnevo,RU,53.6524,52.1274,47.34,81,100,4.18,overcast clouds
Angoche,MZ,-16.2325,39.9086,75.42,80,2,13.87,clear sky
